Name	Date	Pages	Size	Hyperlinks	Pictures	Other_links	Error_links	k__3D_	k__IDEF	k__actor	k__net	k_Actor_Prolog	k_DNA	k_ILP	k_Internet_agent	k_JVM	k_Java_	k_Java3d	k_NLP	k_OOP	k_RDF	k_SADT	k_VRML	k_Web	k_Web_agent	k_Web_tool	k_XML	k_agent	k_artificial_intelligence	k_compilation	k_concurr	k_constraints	k_constructive_negation	k_coordination	k_data_mining	k_debugging	k_deductive_database	k_flow_analysis	k_formalism	k_higher_order	k_inductive	k_knowledge	k_language	k_linear_logic	k_memory_management	k_mobility	k_modes	k_modifiable_reasoning	k_molecular_biology	k_monad	k_monotonic	k_natural_language	k_object	k_object-oriented	k_parallel	k_perturbation	k_program_analysis	k_program_transformation	k_programming	k_programming_technique	k_protein	k_refinement	k_semantic	k_semantic_Web	k_semantic_foundation	k_software_engineering	k_speculative	k_theory	k_types	k_validation	k_verification	k_virtual_machine	k_visual	k_visual_program	
B-Prolog	20/3/2012	236	3646723	25	178	124	19	0	0	0	1	0	0	0	0	0	1	0	0	63	1	0	0	9	0	0	368	133	0	6	12	184	0	0	3	9	3	0	0	0	0	9	1519	0	3	0	18	0	0	0	0	0	192	3	1	0	1	0	61	0	1	0	14	0	0	3	0	0	29	0	3	2	7	0	
Bry	1/3/2012	1	28541	76	6	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	
Ducasse	6/9/2005	1	28464	85	5	34	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
ALF	12/9/2007	4	10384	9	0	18	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
IF/Prolog	17/12/2007	1	8126	12	14	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
GNU Prolog	1/1/1970	1	3523	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brain Aid Prolog	22/6/2005	227	690504	39	1	1	0	0	0	0	14	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	23	0	0	0	0	0	10	42	0	3	0	0	0	0	0	0	1	185	1	71	0	0	0	26	0	0	0	1	0	0	0	0	1	12	0	0	0	2	0	
EZY Prolog	23/9/2009	1	17234	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	
Clark	27/8/2010	23	75875	7	1	26	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	10	0	0	24	116	0	0	13	1	0	1	0	0	0	0	0	3	0	28	119	0	0	0	0	0	0	0	0	0	24	9	0	0	0	0	50	0	0	0	3	0	0	0	0	6	1	0	0	0	0	0	
Delzanno	1/1/1970	3	31212	12	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Huntbach	5/9/2011	1	7117	15	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Ferreia	7/2/2012	1	20508	29	2	30	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eliens	28/11/2007	1	5689	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Gupta	1/1/1970	1	23814	71	3	23	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Dahl	1/1/1970	10	293063	46	11	9	1	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	14	0	0	67	1	0	0	0	4	0	4	0	0	2	0	3	0	0	11	37	0	0	0	0	0	2	0	0	9	2	0	2	0	0	0	17	0	0	0	1	0	0	0	0	2	3	0	0	0	0	0	
Epilog	1/1/1970	1	30204	9	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	25	11	0	0	0	1	0	0	0	0	5	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	7	1	0	0	0	0	0	
Dix	5/12/2003	1	13954	19	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	
ACE	1/1/1970	3	21685	21	2	24	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Demoen	23/1/2012	1	10089	64	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Cohen	1/11/2006	25	370703	25	36	38	0	0	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0	2	0	0	0	0	0	0	0	15	0	2	0	1	0	0	0	0	2	1	48	0	2	0	0	0	0	0	0	0	0	0	20	0	3	1	25	0	20	0	1	0	0	0	0	3	6	0	0	0	1	0	
Actor Prolog	24/9/2007	205	848699	32	701	36	0	0	0	85	0	0	0	0	0	0	0	0	0	16	0	30	0	24	0	0	0	64	3	0	28	3	0	0	0	0	0	0	0	1	0	0	68	0	0	0	0	2	0	0	3	0	26	13	4	0	0	0	80	0	0	0	27	0	0	0	1	1	7	0	0	0	35	8	
Dutra	13/10/2005	1	2631	6	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
